timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-14T00:00:00,19.389,0.992,781.758,92.188
2021-06-14T00:05:00,19.434,0.888,618.059,86.135
2021-06-14T00:10:00,25.456,0.861,550.828,169.584
2021-06-14T00:15:00,27.398,0.963,777.332,227.654
2021-06-14T00:20:00,25.692,0.999,367.955,194.017
2021-06-14T00:25:00,25.849,0.984,545.929,193.135
2021-06-14T00:30:00,26.143,1.0,254.893,216.906
2021-06-14T00:35:00,26.012,0.991,352.821,166.591
2021-06-14T00:40:00,29.654,1.002,244.668,242.614
2021-06-14T00:45:00,29.667,1.001,238.734,222.172
2021-06-14T00:50:00,29.75,1.003,186.985,234.199
2021-06-14T00:55:00,30.796,0.934,972.597,209.682
2021-06-14T01:10:00,46.136,0.808,2046.183,232.492
2021-06-14T01:15:00,20.098,0.95,610.964,105.883
2021-06-14T01:20:00,14.356,0.994,217.762,49.095
2021-06-14T01:25:00,19.001,0.95,853.275,127.724
2021-06-14T01:30:00,23.793,1.001,264.776,155.19
2021-06-14T01:35:00,24.448,0.994,144.56,163.956
2021-06-14T01:40:00,21.206,1.005,93.917,117.51
2021-06-14T01:45:00,22.602,0.977,154.492,143.466
2021-06-14T01:50:00,22.171,1.002,195.818,131.564
2021-06-14T01:55:00,19.681,1.0,162.472,105.64
2021-06-14T02:00:00,16.847,1.002,775.353,65.141
2021-06-14T02:05:00,14.529,1.001,683.81,51.756
2021-06-14T02:10:00,14.0,0.991,425.966,39.138
2021-06-14T02:15:00,31.089,0.931,553.106,199.455
2021-06-14T02:20:00,18.155,0.759,852.036,119.261
2021-06-14T02:25:00,27.594,0.859,992.837,180.243
2021-06-14T02:30:00,19.635,0.943,758.993,66.759
2021-06-14T02:35:00,23.264,0.976,608.097,173.493
2021-06-14T02:40:00,19.394,0.872,774.342,61.665
2021-06-14T02:45:00,15.757,0.982,362.265,47.072
2021-06-14T02:50:00,36.448,0.954,203.8,269.685
2021-06-14T02:55:00,53.346,1.003,478.533,435.481
2021-06-14T03:00:00,49.624,1.003,304.192,457.382
2021-06-14T03:05:00,31.871,0.966,544.845,140.82
2021-06-14T03:10:00,31.645,1.001,447.309,218.312
2021-06-14T03:25:00,14.221,0.99,189.099,65.44
2021-06-14T03:30:00,20.869,0.885,279.857,118.004
2021-06-14T03:35:00,19.925,0.919,293.535,111.578
2021-06-14T03:40:00,25.235,0.983,532.205,156.667
2021-06-14T03:45:00,24.825,0.902,924.353,169.764
2021-06-14T03:50:00,15.513,1.005,585.504,54.187
2021-06-14T03:55:00,24.298,0.852,543.019,71.453
2021-06-14T04:00:00,24.618,1.002,302.447,133.856
2021-06-14T04:05:00,29.296,0.832,292.66,109.022
2021-06-14T04:10:00,36.851,1.004,205.21,315.658
2021-06-14T04:15:00,35.247,0.985,423.183,331.648
2021-06-14T04:20:00,36.101,0.934,330.868,341.558
2021-06-14T04:25:00,26.583,0.957,201.466,171.584
2021-06-14T04:30:00,22.697,1.005,108.849,143.399
2021-06-14T04:35:00,23.573,1.003,331.289,118.337
2021-06-14T04:40:00,22.398,0.988,147.389,128.636
2021-06-14T04:45:00,21.302,1.001,236.312,91.388
2021-06-14T04:50:00,22.656,0.978,603.982,114.632
2021-06-14T04:55:00,29.5,0.967,1484.443,238.096
2021-06-14T05:00:00,26.714,0.947,1147.378,175.175
2021-06-14T05:05:00,38.194,0.952,1075.616,366.17
2021-06-14T05:10:00,34.903,0.974,427.803,274.034
2021-06-14T05:15:00,32.72,0.956,591.524,262.687
2021-06-14T05:20:00,25.617,0.938,1064.098,166.482
2021-06-14T05:25:00,33.023,0.98,1129.068,280.66
2021-06-14T05:30:00,27.405,0.926,1302.872,129.837
2021-06-14T05:35:00,36.107,0.996,891.282,340.926
2021-06-14T05:40:00,22.874,0.96,753.359,97.208
2021-06-14T05:45:00,25.462,0.98,196.542,218.266
2021-06-14T05:50:00,25.442,0.803,929.842,87.089
2021-06-14T05:55:00,25.36,0.983,198.556,203.475
2021-06-14T06:00:00,25.304,1.003,166.186,184.08
2021-06-14T06:05:00,25.845,0.923,171.032,109.807
2021-06-14T06:10:00,33.488,1.004,1723.501,563.7
2021-06-14T06:15:00,31.392,1.0,625.763,233.696
2021-06-14T06:20:00,41.926,0.976,418.529,386.518
2021-06-14T06:25:00,38.214,0.938,683.822,201.812
2021-06-14T06:30:00,37.313,0.997,614.715,291.671
2021-06-14T06:35:00,31.004,0.998,539.533,232.258
2021-06-14T06:40:00,32.582,0.926,938.097,191.838
2021-06-14T06:45:00,23.42,0.888,746.192,97.361
2021-06-14T22:25:00,13.907,0.949,366.396,45.449
2021-06-14T22:30:00,13.887,0.923,526.497,38.661
2021-06-14T22:35:00,12.925,0.841,387.27,25.071
2021-06-14T22:40:00,12.867,0.991,447.094,49.737
2021-06-14T22:45:00,15.482,0.908,148.323,49.916
2021-06-14T22:50:00,12.388,1.002,209.799,37.314
2021-06-14T22:55:00,13.206,1.003,166.036,38.602
2021-06-14T23:00:00,15.13,0.993,161.333,63.883
2021-06-14T23:05:00,18.299,0.977,229.082,94.818
2021-06-14T23:10:00,19.129,0.972,144.752,77.757
2021-06-14T23:15:00,26.157,1.002,135.065,212.952
2021-06-14T23:20:00,24.277,0.988,76.916,204.302
2021-06-14T23:25:00,24.441,1.004,106.791,203.461
2021-06-14T23:30:00,26.302,0.996,129.103,254.717
2021-06-14T23:35:00,25.444,0.968,232.245,225.186
2021-06-14T23:40:00,22.55,1.003,930.231,106.579
2021-06-14T23:45:00,23.457,0.969,447.431,145.983
2021-06-14T23:50:00,18.386,0.99,629.2,109.579
2021-06-14T23:55:00,24.191,0.98,479.715,158.535
