timestamp,rmssd,coverage,low_frequency,high_frequency
2021-09-22T04:10:00,26.733,0.76,307.526,108.441
2021-09-22T04:15:00,28.7,0.971,810.525,137.687
2021-09-22T04:20:00,22.404,0.996,493.049,152.813
2021-09-22T04:25:00,25.937,0.977,275.338,178.23
2021-09-22T04:30:00,24.491,0.996,165.487,197.643
2021-09-22T04:35:00,28.482,1.003,245.352,290.278
2021-09-22T04:40:00,29.986,1.002,155.968,332.296
2021-09-22T04:45:00,22.323,1.004,186.123,174.816
2021-09-22T04:50:00,21.88,1.003,221.095,166.197
2021-09-22T04:55:00,22.341,0.841,270.352,183.311
2021-09-22T05:00:00,22.799,1.002,301.224,148.626
2021-09-22T05:05:00,23.172,1.003,1973.94,96.344
2021-09-22T05:10:00,17.619,1.003,698.832,30.283
2021-09-22T05:15:00,17.87,1.003,1036.562,47.089
2021-09-22T05:20:00,22.32,0.951,1184.267,153.645
2021-09-22T05:25:00,26.531,0.953,462.255,257.835
2021-09-22T05:30:00,22.1,1.002,189.106,173.756
2021-09-22T05:35:00,21.388,1.004,252.33,180.047
2021-09-22T05:40:00,22.375,1.004,121.788,170.24
2021-09-22T05:45:00,26.292,0.977,1598.958,190.06
2021-09-22T05:50:00,30.018,1.004,198.676,297.049
2021-09-22T05:55:00,32.134,1.002,246.761,423.323
2021-09-22T06:00:00,37.821,1.001,360.55,534.766
2021-09-22T06:05:00,33.781,1.006,133.403,374.423
2021-09-22T06:10:00,32.303,0.964,1248.574,290.162
2021-09-22T06:15:00,23.205,0.995,693.875,117.747
2021-09-22T06:20:00,24.464,0.934,639.892,135.774
2021-09-22T06:25:00,30.139,0.984,1379.413,203.039
2021-09-22T06:30:00,33.283,0.963,1060.717,232.839
2021-09-22T06:35:00,36.964,0.965,1824.652,395.442
2021-09-22T06:40:00,35.477,0.995,928.036,425.971
2021-09-22T06:45:00,32.657,0.949,1025.814,315.773
2021-09-22T06:50:00,33.407,0.971,547.788,198.16
2021-09-22T06:55:00,41.002,0.96,1360.428,453.617
2021-09-22T07:10:00,44.531,0.976,966.764,489.216
2021-09-22T07:15:00,40.335,0.972,776.676,397.523
2021-09-22T07:20:00,30.677,1.001,392.625,292.192
2021-09-22T07:25:00,28.617,0.783,151.169,259.275
2021-09-22T07:35:00,32.003,1.002,1278.541,228.43
2021-09-22T07:40:00,29.512,0.984,238.623,268.699
2021-09-22T07:45:00,25.678,0.973,114.751,209.731
2021-09-22T07:50:00,29.041,1.003,402.152,216.039
2021-09-22T07:55:00,29.872,0.991,234.936,260.352
2021-09-22T08:00:00,27.969,1.005,119.274,290.201
2021-09-22T08:05:00,28.616,1.002,179.987,242.125
2021-09-22T08:10:00,28.268,0.872,241.351,197.636
2021-09-22T08:15:00,32.593,1.004,1425.117,258.088
2021-09-22T08:20:00,27.695,0.978,4127.37,353.604
2021-09-22T08:25:00,23.721,1.002,1198.428,185.477
2021-09-22T08:30:00,18.775,0.911,1314.806,93.324
2021-09-22T08:35:00,17.993,0.923,603.089,82.701
2021-09-22T08:40:00,19.05,0.703,1320.507,147.997
2021-09-22T21:15:00,16.525,0.82,105.709,62.741
2021-09-22T21:20:00,13.943,0.809,139.099,49.032
2021-09-22T21:25:00,15.904,0.969,118.237,118.026
2021-09-22T21:30:00,13.386,1.002,66.443,85.092
2021-09-22T21:35:00,15.21,1.002,68.653,100.601
2021-09-22T21:40:00,16.922,0.995,73.644,131.065
2021-09-22T21:45:00,21.711,0.974,192.352,174.223
2021-09-22T21:50:00,26.462,0.997,247.853,350.154
2021-09-22T21:55:00,22.465,1.003,234.412,256.734
2021-09-22T22:00:00,16.071,0.985,165.365,92.583
2021-09-22T22:05:00,23.773,1.002,1148.605,226.266
2021-09-22T22:10:00,21.29,1.002,280.341,164.122
2021-09-22T22:15:00,22.557,1.003,377.629,228.856
2021-09-22T22:20:00,21.961,1.003,213.314,212.397
2021-09-22T22:25:00,21.684,0.996,95.417,174.868
2021-09-22T22:30:00,21.704,1.004,228.636,194.091
2021-09-22T22:35:00,27.709,0.954,702.865,269.734
2021-09-22T22:40:00,23.731,0.991,1581.006,171.153
2021-09-22T22:45:00,22.696,0.931,1306.551,116.715
2021-09-22T22:50:00,21.708,0.949,1315.485,201.174
2021-09-22T22:55:00,22.471,1.003,140.581,198.694
2021-09-22T23:00:00,25.638,0.996,633.733,260.046
2021-09-22T23:05:00,28.409,0.964,792.895,270.959
2021-09-22T23:10:00,34.366,1.004,678.363,419.8
2021-09-22T23:15:00,29.75,0.978,372.55,206.138
2021-09-22T23:20:00,38.107,1.002,200.355,588.566
2021-09-22T23:25:00,30.711,1.005,465.0,300.959
2021-09-22T23:30:00,30.687,0.977,627.374,251.598
2021-09-22T23:35:00,26.119,0.972,424.368,147.192
2021-09-22T23:40:00,28.23,0.948,364.35,226.646
2021-09-22T23:45:00,36.08,0.986,826.967,464.124
2021-09-22T23:50:00,28.597,1.006,338.705,250.976
2021-09-22T23:55:00,30.558,1.001,505.812,227.02
