timestamp,rmssd,coverage,low_frequency,high_frequency
2021-08-15T01:20:00,11.05,0.934,150.159,16.385
2021-08-15T01:25:00,11.106,0.93,240.208,29.002
2021-08-15T01:30:00,14.825,0.944,107.963,71.992
2021-08-15T01:35:00,14.769,1.003,576.214,92.959
2021-08-15T01:40:00,17.218,1.002,134.044,117.728
2021-08-15T01:45:00,20.193,1.001,69.824,151.818
2021-08-15T01:50:00,21.673,0.928,146.269,177.018
2021-08-15T01:55:00,17.958,0.951,382.969,87.633
2021-08-15T02:00:00,15.471,0.991,282.625,68.08
2021-08-15T02:05:00,18.135,0.941,365.55,139.48
2021-08-15T02:10:00,19.123,0.824,532.903,88.12
2021-08-15T02:15:00,17.005,0.997,341.129,94.686
2021-08-15T02:20:00,22.404,0.733,402.372,74.271
2021-08-15T02:25:00,15.79,1.004,340.096,66.656
2021-08-15T02:30:00,14.533,0.909,511.132,44.372
2021-08-15T02:35:00,14.227,1.004,382.678,61.003
2021-08-15T02:40:00,18.103,0.966,380.776,45.626
2021-08-15T02:45:00,27.251,0.984,1142.446,132.508
2021-08-15T02:50:00,30.017,0.925,659.855,175.136
2021-08-15T02:55:00,26.002,0.975,473.369,207.966
2021-08-15T03:00:00,36.764,0.931,983.315,336.247
2021-08-15T03:05:00,32.488,0.98,680.853,323.187
2021-08-15T03:10:00,31.12,1.003,163.242,304.705
2021-08-15T03:15:00,32.542,0.959,229.436,323.943
2021-08-15T03:20:00,32.964,0.992,217.578,413.988
2021-08-15T03:25:00,32.005,1.004,205.708,300.14
2021-08-15T03:30:00,42.457,1.002,147.78,645.88
2021-08-15T03:35:00,40.731,1.003,261.03,617.87
2021-08-15T03:40:00,41.6,1.004,400.333,516.541
2021-08-15T03:45:00,45.355,0.997,233.918,625.722
2021-08-15T03:50:00,37.127,0.956,222.456,350.242
2021-08-15T03:55:00,24.908,0.786,166.702,117.409
2021-08-15T04:00:00,24.972,0.979,196.099,166.166
2021-08-15T04:05:00,22.883,0.792,107.038,100.335
2021-08-15T04:10:00,28.612,0.923,602.055,210.887
2021-08-15T04:15:00,27.734,1.001,1039.26,172.058
2021-08-15T04:20:00,24.204,0.986,1545.525,115.638
2021-08-15T04:25:00,23.659,0.973,492.728,173.883
2021-08-15T04:30:00,24.927,0.98,593.63,183.542
2021-08-15T04:35:00,27.17,0.965,250.68,203.97
2021-08-15T04:40:00,29.586,0.904,769.193,188.85
2021-08-15T04:45:00,30.812,0.966,247.647,246.56
2021-08-15T04:50:00,32.574,1.005,110.395,292.844
2021-08-15T04:55:00,28.723,0.991,130.599,244.723
2021-08-15T05:00:00,34.27,0.792,305.768,270.358
2021-08-15T05:05:00,29.955,0.925,1347.15,232.774
2021-08-15T05:10:00,30.946,0.788,297.021,247.824
2021-08-15T05:15:00,35.23,1.003,192.019,398.602
2021-08-15T05:20:00,32.588,1.004,144.645,308.644
2021-08-15T05:25:00,28.834,0.994,355.737,161.557
2021-08-15T05:30:00,28.855,0.993,1080.179,173.608
2021-08-15T05:35:00,29.142,0.958,1194.444,150.146
2021-08-15T05:40:00,38.169,0.948,1053.472,423.606
2021-08-15T05:45:00,30.087,0.988,381.251,272.507
2021-08-15T05:50:00,26.928,1.001,493.853,159.082
2021-08-15T05:55:00,27.119,0.958,609.374,231.951
