timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-25T00:00:00,26.426,1.0,228.921,273.477
2021-06-25T00:05:00,27.304,0.999,308.414,342.794
2021-06-25T00:10:00,28.81,1.002,164.636,355.323
2021-06-25T00:15:00,29.254,1.002,398.638,440.099
2021-06-25T00:20:00,29.155,1.005,593.522,246.509
2021-06-25T00:25:00,32.451,0.992,395.367,444.589
2021-06-25T00:30:00,29.83,0.873,200.732,269.758
2021-06-25T00:35:00,22.62,0.964,1924.632,210.413
2021-06-25T00:40:00,27.059,0.921,2339.563,211.074
2021-06-25T00:45:00,27.01,0.986,1776.611,159.967
2021-06-25T00:50:00,26.298,0.987,832.912,222.372
2021-06-25T00:55:00,25.679,0.879,444.932,177.939
2021-06-25T01:05:00,32.612,0.777,873.076,197.946
2021-06-25T01:10:00,28.558,0.996,1266.436,209.977
2021-06-25T01:15:00,30.132,0.86,345.473,254.395
2021-06-25T01:20:00,30.45,1.006,416.274,275.412
2021-06-25T01:25:00,29.173,1.001,199.04,227.486
2021-06-25T01:30:00,32.714,1.003,213.829,295.815
2021-06-25T01:35:00,32.481,1.005,210.521,285.326
2021-06-25T01:40:00,36.921,1.003,304.356,357.876
2021-06-25T01:45:00,30.613,0.97,460.549,252.498
2021-06-25T01:50:00,35.933,0.955,2842.19,341.568
2021-06-25T02:10:00,21.61,0.925,317.426,120.156
2021-06-25T02:15:00,23.79,1.002,174.205,191.152
2021-06-25T02:20:00,28.193,1.003,458.467,227.983
2021-06-25T02:25:00,33.779,0.915,1348.247,249.423
2021-06-25T02:30:00,29.564,0.991,279.241,235.039
2021-06-25T02:35:00,27.106,0.968,767.285,202.645
2021-06-25T02:40:00,27.403,1.002,325.278,263.668
2021-06-25T02:45:00,26.734,0.996,201.807,243.971
2021-06-25T02:50:00,25.476,1.003,251.377,195.835
2021-06-25T02:55:00,22.615,0.978,1090.433,125.415
2021-06-25T03:00:00,26.013,0.986,1251.069,145.148
2021-06-25T03:05:00,31.358,0.945,1151.346,218.842
2021-06-25T03:10:00,41.465,0.997,688.518,439.92
2021-06-25T03:15:00,35.058,0.96,891.76,338.568
2021-06-25T03:20:00,48.383,0.948,2499.608,472.905
2021-06-25T03:25:00,38.046,0.963,1704.809,255.862
2021-06-25T03:30:00,37.782,0.763,722.442,289.099
2021-06-25T03:35:00,39.403,0.973,1241.228,286.892
2021-06-25T03:40:00,32.47,0.933,930.046,188.986
2021-06-25T03:45:00,32.565,1.005,690.648,208.035
2021-06-25T03:50:00,33.093,0.949,783.684,210.907
2021-06-25T03:55:00,40.653,1.003,2798.182,436.118
2021-06-25T04:00:00,47.988,0.937,1369.346,515.527
2021-06-25T04:05:00,24.298,0.889,269.184,159.85
2021-06-25T04:10:00,20.167,1.005,238.035,137.28
2021-06-25T04:15:00,17.632,1.003,155.103,82.572
2021-06-25T04:20:00,22.797,0.962,595.507,147.599
2021-06-25T04:25:00,20.389,1.002,220.958,96.323
2021-06-25T04:30:00,18.754,1.004,304.608,78.945
2021-06-25T04:35:00,21.36,1.005,156.256,118.527
2021-06-25T04:40:00,21.711,1.001,183.018,100.589
2021-06-25T04:45:00,24.572,0.968,305.511,146.118
2021-06-25T04:50:00,22.911,0.978,796.991,98.681
2021-06-25T04:55:00,20.109,0.998,308.841,87.821
2021-06-25T05:00:00,20.821,0.957,436.896,73.21
2021-06-25T05:05:00,21.263,1.005,725.844,106.384
2021-06-25T05:10:00,26.165,0.895,418.775,183.366
2021-06-25T05:15:00,26.986,0.998,1060.622,268.063
2021-06-25T05:20:00,28.128,1.003,306.485,215.136
2021-06-25T05:25:00,27.69,1.003,412.778,256.679
2021-06-25T05:30:00,25.417,1.003,160.867,183.09
2021-06-25T05:35:00,26.773,1.003,133.222,210.242
2021-06-25T05:40:00,26.656,1.002,241.161,219.86
2021-06-25T05:45:00,27.043,1.003,317.633,197.063
2021-06-25T05:50:00,29.513,1.005,176.184,261.951
2021-06-25T05:55:00,30.667,1.001,262.894,246.203
2021-06-25T06:00:00,30.948,0.938,1044.561,234.81
2021-06-25T06:05:00,27.214,0.943,470.985,174.929
2021-06-25T06:10:00,30.81,0.868,2254.721,176.431
2021-06-25T06:20:00,18.253,0.81,617.802,119.098
2021-06-25T06:25:00,16.283,0.814,339.37,85.227
2021-06-25T06:30:00,20.354,1.004,413.252,168.951
2021-06-25T06:35:00,25.903,0.977,279.349,208.595
2021-06-25T06:40:00,27.573,0.955,907.171,341.904
2021-06-25T06:45:00,37.483,0.99,1041.861,403.487
2021-06-25T06:50:00,25.2,0.998,133.165,218.895
2021-06-25T06:55:00,29.03,0.98,231.648,347.726
2021-06-25T07:00:00,29.236,0.962,1088.609,289.785
2021-06-25T07:05:00,32.181,0.991,1191.709,203.92
2021-06-25T07:10:00,33.115,1.004,643.401,238.245
2021-06-25T07:15:00,26.658,0.961,904.549,107.921
2021-06-25T07:20:00,23.041,0.922,764.103,96.095
