timestamp,rmssd,coverage,low_frequency,high_frequency
2021-09-15T00:00:00,31.239,0.963,715.981,228.522
2021-09-15T00:05:00,32.636,0.968,418.588,287.615
2021-09-15T00:10:00,32.417,1.003,204.891,314.452
2021-09-15T00:15:00,39.371,0.929,1153.217,321.741
2021-09-15T00:20:00,29.692,0.96,1133.626,146.288
2021-09-15T00:25:00,35.14,0.974,1247.134,281.371
2021-09-15T00:30:00,49.003,0.989,1626.389,397.168
2021-09-15T00:35:00,37.509,0.958,759.033,272.787
2021-09-15T00:40:00,44.35,1.005,1096.475,465.211
2021-09-15T00:45:00,27.404,0.95,836.269,123.661
2021-09-15T00:50:00,24.702,0.941,794.22,115.644
2021-09-15T00:55:00,29.625,0.952,776.293,203.855
2021-09-15T01:00:00,20.708,0.98,966.987,109.903
2021-09-15T01:05:00,24.087,0.939,179.386,208.41
2021-09-15T01:10:00,22.841,0.94,729.794,201.096
2021-09-15T01:15:00,21.302,0.981,546.484,98.011
2021-09-15T01:30:00,26.088,0.934,722.478,158.935
2021-09-15T01:35:00,24.485,1.003,170.793,174.51
2021-09-15T01:40:00,24.627,0.966,394.468,158.037
2021-09-15T01:45:00,25.927,0.992,244.77,195.734
2021-09-15T01:50:00,27.084,1.003,242.761,205.319
2021-09-15T01:55:00,27.103,1.004,392.969,199.492
2021-09-15T02:00:00,25.667,1.003,270.614,165.567
2021-09-15T02:05:00,27.349,0.961,165.964,209.113
2021-09-15T02:10:00,26.822,0.982,504.598,215.404
2021-09-15T02:15:00,27.673,0.989,835.821,213.174
2021-09-15T02:20:00,23.743,0.967,484.136,189.315
2021-09-15T02:25:00,21.947,0.985,939.036,154.526
2021-09-15T02:30:00,25.626,0.791,445.585,160.484
2021-09-15T02:35:00,23.793,0.979,622.947,173.538
2021-09-15T02:40:00,19.795,0.753,446.394,91.021
2021-09-15T02:45:00,23.638,0.854,477.529,106.87
2021-09-15T02:50:00,20.405,0.975,484.515,107.509
2021-09-15T02:55:00,30.23,0.954,223.236,155.872
2021-09-15T03:00:00,23.749,0.977,253.288,111.727
2021-09-15T03:05:00,23.594,1.004,417.547,108.441
2021-09-15T03:10:00,21.94,1.003,128.144,122.39
2021-09-15T03:15:00,21.456,0.972,375.041,110.406
2021-09-15T03:25:00,15.802,0.968,367.944,61.696
2021-09-15T03:30:00,19.366,1.003,180.33,91.359
2021-09-15T03:35:00,17.638,1.003,141.685,65.485
2021-09-15T03:40:00,19.143,1.001,114.218,69.5
2021-09-15T03:55:00,22.692,0.981,361.125,132.12
2021-09-15T04:00:00,20.414,0.791,473.159,94.024
2021-09-15T04:05:00,23.136,0.991,581.527,103.84
2021-09-15T04:10:00,20.068,0.787,663.227,81.272
2021-09-15T04:15:00,20.917,0.969,989.34,112.099
2021-09-15T04:20:00,24.951,0.84,845.036,99.088
2021-09-15T04:30:00,52.186,0.747,6980.264,710.718
2021-09-15T04:35:00,65.902,0.874,12641.43,836.736
2021-09-15T04:40:00,65.262,0.762,722.244,763.688
2021-09-15T04:45:00,66.124,0.79,4661.082,1101.569
2021-09-15T04:50:00,55.94,0.974,395.334,968.855
2021-09-15T04:55:00,69.053,0.934,879.162,1118.573
2021-09-15T05:00:00,61.393,0.883,726.539,987.797
2021-09-15T05:05:00,61.137,0.811,437.992,847.157
2021-09-15T05:10:00,62.59,0.94,672.123,919.236
2021-09-15T05:15:00,50.81,0.979,533.885,672.184
2021-09-15T05:20:00,51.551,0.973,377.326,614.99
2021-09-15T05:25:00,31.442,0.921,1271.3,218.732
2021-09-15T05:30:00,29.015,1.001,827.78,154.477
2021-09-15T05:35:00,21.714,0.979,1796.822,90.92
2021-09-15T05:40:00,23.238,1.002,873.684,130.478
2021-09-15T05:55:00,19.922,0.93,1059.651,141.653
2021-09-15T06:00:00,24.733,0.986,411.066,155.827
2021-09-15T06:05:00,27.769,0.89,461.488,326.558
2021-09-15T06:10:00,32.942,0.949,780.333,358.333
2021-09-15T06:15:00,32.505,0.926,1514.791,248.674
2021-09-15T06:20:00,28.782,0.958,614.456,260.13
2021-09-15T06:25:00,49.493,0.928,383.618,473.083
2021-09-15T06:30:00,41.73,0.904,697.231,291.512
2021-09-15T06:35:00,22.148,0.934,989.461,97.917
2021-09-15T06:40:00,29.975,0.903,1490.58,199.736
2021-09-15T22:40:00,11.758,0.948,126.944,46.013
2021-09-15T22:45:00,16.595,0.979,142.154,77.033
2021-09-15T22:50:00,22.435,0.958,250.687,185.114
2021-09-15T22:55:00,24.656,0.892,213.225,185.822
2021-09-15T23:00:00,26.691,0.973,162.283,230.144
2021-09-15T23:05:00,27.965,0.984,250.788,300.211
2021-09-15T23:10:00,23.304,0.931,417.267,156.674
2021-09-15T23:15:00,23.34,1.005,525.388,162.153
2021-09-15T23:20:00,21.803,0.991,300.029,109.324
2021-09-15T23:25:00,23.838,0.977,495.19,136.932
2021-09-15T23:30:00,24.978,1.003,246.674,148.419
2021-09-15T23:35:00,28.058,0.974,266.184,183.612
2021-09-15T23:40:00,24.404,0.997,772.641,139.108
2021-09-15T23:45:00,24.282,1.004,380.386,164.708
2021-09-15T23:50:00,19.193,0.996,337.151,53.164
2021-09-15T23:55:00,22.765,0.917,1095.957,110.814
